dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,metric_type,transaction_count,transaction_amount
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,madhya pradesh,TOTAL,14476,3496126.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,andhra pradesh,TOTAL,49812,12426481.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,tripura,TOTAL,249,61642.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,lakshadweep,TOTAL,4,1199.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,manipur,TOTAL,134,45164.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,maharashtra,TOTAL,71662,19230156.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,dadra & nagar haveli & daman & diu,TOTAL,257,65504.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,meghalaya,TOTAL,112,33615.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,andaman & nicobar islands,TOTAL,41,15380.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,haryana,TOTAL,7139,1884868.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,rajasthan,TOTAL,15235,3758527.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,ladakh,TOTAL,33,10260.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,punjab,TOTAL,2488,684753.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,assam,TOTAL,2206,599450.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,jharkhand,TOTAL,5368,1349934.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,odisha,TOTAL,10955,2640191.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,bihar,TOTAL,9733,2161102.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,kerala,TOTAL,8811,2830361.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,karnataka,TOTAL,53701,12407394.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,chandigarh,TOTAL,264,70969.0
