dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611223543,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\2.json,Insurance,TOTAL,501,779740.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611275139,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\3.json,Insurance,TOTAL,643,902466.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611326988,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2022\4.json,Insurance,TOTAL,901,1441210.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619172049,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\1.json,Insurance,TOTAL,1004,1439198.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619353761,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\2.json,Insurance,TOTAL,768,1233395.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612191961,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\3.json,Insurance,TOTAL,795,1251145.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092847913,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2023\4.json,Insurance,TOTAL,1145,1757821.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727733190,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\1.json,Insurance,TOTAL,1371,1964556.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2024,2,1711909800000,1719513000000,True,SUCCESS,1722517859449,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\2.json,Insurance,TOTAL,1097,1744694.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2024,3,1719792000000,1727481600000,True,SUCCESS,1739974385882,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\3.json,Insurance,TOTAL,1191,1752800.0
aggregated,insurance,,india,state,andaman-&-nicobar-islands,2024,4,1727740800000,1735344000000,True,SUCCESS,1739974607965,data\aggregated\insurance\country\india\state\andaman-&-nicobar-islands\2024\4.json,Insurance,TOTAL,1293,2026380.0
aggregated,insurance,,india,state,andhra-pradesh,2020,2,1585679400000,1593282600000,True,SUCCESS,1692610800646,data\aggregated\insurance\country\india\state\andhra-pradesh\2020\2.json,Insurance,TOTAL,22104,3982391.0
aggregated,insurance,,india,state,andhra-pradesh,2020,3,1593541800000,1601231400000,True,SUCCESS,1692610852100,data\aggregated\insurance\country\india\state\andhra-pradesh\2020\3.json,Insurance,TOTAL,49812,12426481.0
aggregated,insurance,,india,state,andhra-pradesh,2020,4,1601490600000,1609093800000,True,SUCCESS,1692610905229,data\aggregated\insurance\country\india\state\andhra-pradesh\2020\4.json,Insurance,TOTAL,21464,12985632.0
aggregated,insurance,,india,state,andhra-pradesh,2021,1,1609439400000,1616869800000,True,SUCCESS,1692610956969,data\aggregated\insurance\country\india\state\andhra-pradesh\2021\1.json,Insurance,TOTAL,22105,12749874.0
aggregated,insurance,,india,state,andhra-pradesh,2021,2,1617215400000,1624818600000,True,SUCCESS,1692611008959,data\aggregated\insurance\country\india\state\andhra-pradesh\2021\2.json,Insurance,TOTAL,33205,22730687.0
aggregated,insurance,,india,state,andhra-pradesh,2021,3,1625077800000,1632767400000,True,SUCCESS,1692611061348,data\aggregated\insurance\country\india\state\andhra-pradesh\2021\3.json,Insurance,TOTAL,23075,19914338.0
aggregated,insurance,,india,state,andhra-pradesh,2021,4,1633026600000,1640629800000,True,SUCCESS,1692611112904,data\aggregated\insurance\country\india\state\andhra-pradesh\2021\4.json,Insurance,TOTAL,25423,31610335.0
aggregated,insurance,,india,state,andhra-pradesh,2022,1,1640975400000,1648405800000,True,SUCCESS,1692611164284,data\aggregated\insurance\country\india\state\andhra-pradesh\2022\1.json,Insurance,TOTAL,29954,42648157.0
aggregated,insurance,,india,state,andhra-pradesh,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611215782,data\aggregated\insurance\country\india\state\andhra-pradesh\2022\2.json,Insurance,TOTAL,32185,41708072.0
aggregated,insurance,,india,state,andhra-pradesh,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611267260,data\aggregated\insurance\country\india\state\andhra-pradesh\2022\3.json,Insurance,TOTAL,39301,48791931.0
aggregated,insurance,,india,state,andhra-pradesh,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611319077,data\aggregated\insurance\country\india\state\andhra-pradesh\2022\4.json,Insurance,TOTAL,44329,58043239.0
aggregated,insurance,,india,state,andhra-pradesh,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619164044,data\aggregated\insurance\country\india\state\andhra-pradesh\2023\1.json,Insurance,TOTAL,34920,51963355.0
