dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,registered_users,app_opens
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,puducherry,49318,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,tamil nadu,2104754,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,uttar pradesh,4694250,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,madhya pradesh,2553603,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,andhra pradesh,3336450,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,tripura,55157,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,lakshadweep,501,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,manipur,29925,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,maharashtra,6106994,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,dadra & nagar haveli & daman & diu,53258,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,meghalaya,18513,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,andaman & nicobar islands,6740,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,haryana,1847357,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,rajasthan,3158202,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,ladakh,8784,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,punjab,847142,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,assam,385237,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,jharkhand,885762,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,odisha,1594015,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,bihar,2133804,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,kerala,784184,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,karnataka,3717763,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,chandigarh,86268,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,telangana,3315560,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,himachal pradesh,227373,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,west bengal,2604789,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,gujarat,2690048,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,sikkim,20051,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,nagaland,15074,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,mizoram,7593,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,chhattisgarh,679263,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,jammu & kashmir,176425,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,goa,91936,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,arunachal pradesh,21495,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,delhi,2087022,0
map,user,hover,india,country,,2018,1,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\1.json,state,uttarakhand,483043,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,puducherry,65580,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,tamil nadu,2996036,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,uttar pradesh,6442554,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,madhya pradesh,3441662,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,andhra pradesh,4402540,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,tripura,83369,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,lakshadweep,686,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,manipur,46055,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,maharashtra,8222371,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,dadra & nagar haveli & daman & diu,71458,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,meghalaya,26618,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,andaman & nicobar islands,9405,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,haryana,2447221,0
map,user,hover,india,country,,2018,2,,,True,SUCCESS,1630502909437,data\map\user\hover\country\india\2018\2.json,state,rajasthan,4212964,0
