dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,registered_users
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,201301,1,151073
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,500072,2,129543
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,560068,3,128921
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,110059,4,124901
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,110092,5,108175
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,122001,6,107275
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,800001,7,94711
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,395006,8,94500
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,560037,9,93771
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,302012,10,89071
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,maharashtra,1,10435033
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,uttar pradesh,2,8096483
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,karnataka,3,6372649
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,andhra pradesh,4,5427617
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,rajasthan,5,5175453
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,telangana,6,5138501
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,west bengal,7,4851740
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,gujarat,8,4433183
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,madhya pradesh,9,4309309
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,state,tamil nadu,10,3900177
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,bengaluru urban,1,3167597
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,pune,2,1974138
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,jaipur,3,1438305
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,mumbai suburban,4,1218632
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,thane,5,1104206
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,hyderabad,6,1024241
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,rangareddy,7,963186
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,ahmadabad,8,919252
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,medchal malkajgiri,9,828425
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,district,surat,10,808005
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,201301,1,188664
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,110059,2,156028
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,500072,3,152034
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,560068,4,151862
